GCA_000003645,Bacillus cereus m1293,,
GCA_000003925,Bacillus mycoides DSM 2048,,
GCA_000003955,Bacillus cereus AH1273,,
GCA_000005825,Bacillus pseudofirmus OF4,,
GCA_000005845,Escherichia coli str. K-12 substr. MG1655,,
GCA_000006155,Bacillus anthracis str. A2012,,
GCA_000006605,Corynebacterium jeikeium K411,,
GCA_000006625,Ureaplasma parvum serovar 3 str. ATCC 700970,,
GCA_000006645,Yersinia pestis KIM10+,,
GCA_000006665,Escherichia coli O157:H7 str. EDL933,,
GCA_000006685,Chlamydia muridarum str. Nigg,,
GCA_000006725,Xylella fastidiosa 9a5c,,
GCA_000006745,Vibrio cholerae O1 biovar El Tor str. N16961,,
GCA_000006765,Pseudomonas aeruginosa PAO1,,
GCA_000006785,Streptococcus pyogenes M1 GAS,,
GCA_000006825,Pasteurella multocida subsp. multocida str. Pm70,,
GCA_000006845,Neisseria gonorrhoeae FA 1090,,
GCA_000006865,Lactococcus lactis subsp. lactis Il1403,,
GCA_000006885,Streptococcus pneumoniae TIGR4,,
GCA_000006905,Caulobacter crescentus CB15,,
GCA_000006925,Shigella flexneri 2a str. 301,,
GCA_000006945,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,,
GCA_000006965,Sinorhizobium meliloti 1021,,
GCA_000006985,Chlorobium tepidum TLS,,
GCA_000007025,Rickettsia conorii str. Malish 7,,
GCA_000007045,Streptococcus pneumoniae R6,,
GCA_000007085,Caldanaerobacter subterraneus subsp. tengcongensis MB4,,
GCA_000007105,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,,
GCA_000007125,Brucella melitensis bv. 1 str. 16M,,
GCA_000007145,Xanthomonas campestris pv. campestris str. ATCC 33913,,
GCA_000007165,Xanthomonas axonopodis pv. citri str. 306,,
GCA_000007205,Chlamydophila pneumoniae TW-183,,
GCA_000007245,Xylella fastidiosa Temecula1,,
GCA_000007265,Streptococcus agalactiae 2603V/R,,
GCA_000007285,Streptococcus pyogenes MGAS8232,,
GCA_000007325,Fusobacterium nucleatum subsp. nucleatum ATCC 25586,,
GCA_000007365,Buchnera aphidicola str. Sg (Schizaphis graminum),,
GCA_000007385,Xanthomonas oryzae pv. oryzae KACC 10331,,
GCA_000007405,Shigella flexneri 2a str. 2457T,,
GCA_000007425,Streptococcus pyogenes MGAS315,,
GCA_000007445,Escherichia coli CFT073,,
GCA_000007465,Streptococcus mutans UA159,,
GCA_000007485,Tropheryma whipplei str. Twist,,
GCA_000007505,Brucella suis 1330,,
GCA_000007525,Bifidobacterium longum NCC2705,,
GCA_000007545,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,,
GCA_000007565,Pseudomonas putida KT2440,,
GCA_000007585,Porphyromonas gingivalis W83,,
GCA_000007605,Chlamydophila caviae GPIC,,
GCA_000007625,Clostridium tetani E88,,
GCA_000007645,Staphylococcus epidermidis ATCC 12228,,
GCA_000007665,Leifsonia xyli subsp. xyli str. CTCB07,,
GCA_000007685,Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130,,
GCA_000007705,Chromobacterium violaceum ATCC 12472,,
GCA_000007725,Buchnera aphidicola str. Bp (Baizongia pistaciae),,
GCA_000007745,Mannheimia succiniciproducens MBEL55E,,
GCA_000007765,Coxiella burnetii RSA 493,,
GCA_000007785,Enterococcus faecalis V583,,
GCA_000007825,Bacillus cereus ATCC 14579,,
GCA_000007845,Bacillus anthracis str. Ames,,
GCA_000007865,Mycobacterium avium subsp. paratuberculosis K-10,,
GCA_000007885,Yersinia pestis biovar Microtus str. 91001,,
GCA_000007905,Helicobacter hepaticus ATCC 51449,,
GCA_000007925,Prochlorococcus marinus subsp. marinus str. CCMP1375,,
GCA_000007945,Haemophilus ducreyi 35000HP,,
GCA_000007985,Geobacter sulfurreducens PCA,,
