"genomeID.col","mean.col","GCcont.col","polIII.col"
"GCA_000003645",0.614508013997232,36.0799810964168,"polC/dnaE3"
"GCA_000003925",0.593691807583729,36.0025915704119,"polC/dnaE3"
"GCA_000003955",0.586578130399901,36.0154899553251,"polC/dnaE3"
"GCA_000005825",0.557580758642048,40.3539262876988,"polC/dnaE3"
"GCA_000005845",0.646954098815125,51.8611475666338,"dnaE1"
"GCA_000006155",0.585779782555362,35.9694433329758,"polC/dnaE3"
"GCA_000006605",0.684314368793017,62.2221650173602,"Other"
"GCA_000006625",0.64987588919767,25.9946633447141,"polC/dnaE3"
"GCA_000006645",0.690839061980439,48.9279040743838,"dnaE1"
"GCA_000006665",0.639327253256267,51.7617302933657,"dnaE1"
"GCA_000006685",0.696975632925979,40.6604758514204,"dnaE1"
"GCA_000006725",0.62091972092247,53.9025207491776,"dnaE1"
"GCA_000006745",0.615893796301467,48.2527059964057,"dnaE2/dnaE1"
"GCA_000006765",0.761181336436131,67.1829090706694,"dnaE2/dnaE1"
"GCA_000006785",0.688306206387126,39.1269039367699,"polC/dnaE3"
"GCA_000006825",0.704289070325097,41.0434058963214,"dnaE1"
"GCA_000006845",0.644548005998317,54.036498384041,"dnaE1"
"GCA_000006865",0.694749670527906,36.1628885756793,"polC/dnaE3"
"GCA_000006885",0.651925727152161,40.5718796152867,"polC/dnaE3"
"GCA_000006905",0.710451487448492,67.8162845732343,"dnaE2/dnaE1"
"GCA_000006925",0.641423420139782,51.6849948917014,"dnaE1"
"GCA_000006945",0.652510351333511,53.3809432701399,"dnaE2/dnaE1"
"GCA_000006965",0.695577782775314,62.8694557254875,"Other"
"GCA_000006985",0.724357414067078,57.9737262430389,"dnaE1"
"GCA_000007025",0.646918036508882,32.8578071090584,"Other"
"GCA_000007045",0.654596950344144,40.5861197984127,"polC/dnaE3"
"GCA_000007085",0.609777190189735,37.8105948179047,"Other"
"GCA_000007105",0.712435436818356,47.7396549961293,"dnaE1"
"GCA_000007125",0.711219232635448,58.3712322080148,"dnaE2/dnaE1"
"GCA_000007145",0.716558249324616,65.5682584706123,"dnaE2/dnaE1"
